,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
87,87,WYmJBMcU,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Northampton,Birmingham,ROUND 37,5.0,3.7,1.67,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.1,1.7,2.05,1.7
88,88,noOSVPrn,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Reading,Stevenage,ROUND 37,2.38,3.5,2.8,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.95,1.8
89,89,rDHyU3Db,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Rotherham,Exeter,ROUND 37,1.7,3.75,4.75,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.03,1.83,1.95,1.8
90,90,lAKqSsrB,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Shrewsbury,Burton,ROUND 37,2.45,3.25,2.88,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,1.95,1.8
91,91,vZ7Asx0l,2025-03-15,16:00,ENGLAND - LEAGUE ONE,Wycombe,Wrexham,ROUND 37,1.95,3.5,3.6,1.5,2.5,3.4,1.3,1.07,8.5,1.4,2.75,2.2,1.65,2.0,1.75
92,92,GlOUxwoo,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Accrington,Gillingham,ROUND 37,2.35,3.0,3.3,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
93,93,8rBG0twh,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Bradford City,Tranmere,ROUND 37,1.6,3.8,5.75,1.44,2.63,3.25,1.33,1.07,8.5,1.33,3.25,2.1,1.7,2.1,1.67
94,94,Cz8XdbxH,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Carlisle,AFC Wimbledon,ROUND 37,3.0,3.1,2.35,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62
95,95,WOK5vjMk,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Colchester,Fleetwood,ROUND 37,2.0,3.2,3.8,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67
96,96,KbGa0Xr9,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Grimsby,Salford,ROUND 37,2.0,3.5,3.5,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.91
97,97,hCE7bBDL,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Morecambe,Barrow,ROUND 37,3.1,3.2,2.35,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
98,98,YHAzI80b,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Newport,Harrogate,ROUND 37,2.9,3.1,2.5,1.5,2.5,3.5,1.29,1.07,9.0,1.4,2.75,2.25,1.62,1.91,1.8
99,99,Cdevgkyq,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Notts Co,Chesterfield,ROUND 37,1.9,3.7,3.75,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.8,2.0,1.67,2.1
100,100,IgbniT5e,2025-03-15,16:00,ENGLAND - LEAGUE TWO,Port Vale,MK Dons,ROUND 37,2.0,3.4,3.7,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.15,1.67,1.91,1.8
101,101,4UW6OyH7,2025-03-15,16:00,SCOTLAND - PREMIERSHIP,Hearts,Ross County,ROUND 30,1.48,4.2,6.5,1.33,3.25,2.63,1.44,1.04,12.0,1.22,4.33,1.73,2.1,1.91,1.91
102,102,pQ9gnu9E,2025-03-15,16:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Hibernian,ROUND 30,2.55,3.25,2.7,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.8,1.95
103,103,Wt81pJwR,2025-03-15,16:00,SCOTLAND - PREMIERSHIP,Motherwell,St. Mirren,ROUND 30,2.75,3.0,2.63,1.5,2.5,3.5,1.29,1.1,7.0,1.44,2.75,2.38,1.57,1.95,1.8
104,104,jRlYvc1l,2025-03-15,16:00,SCOTLAND - PREMIERSHIP,St Johnstone,Aberdeen,ROUND 30,3.0,3.2,2.4,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.5,2.0,1.85,1.75,2.0
105,105,tx75H6cm,2025-03-15,16:00,SCOTLAND - CHAMPIONSHIP,Airdrieonians,Livingston,ROUND 29,4.5,3.8,1.65,1.36,3.0,2.75,1.4,1.05,8.5,1.25,3.75,1.88,1.98,1.83,1.83
106,106,l2ADFpSa,2025-03-15,16:00,SCOTLAND - CHAMPIONSHIP,Hamilton,Morton,ROUND 29,2.2,3.4,2.88,1.44,2.63,3.25,1.33,1.06,8.0,1.36,3.0,2.1,1.7,1.83,1.83
107,107,r13MDOdC,2025-03-15,16:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Ayr,ROUND 29,3.0,3.5,2.05,1.44,2.63,3.0,1.36,1.05,8.5,1.29,3.5,1.98,1.88,1.83,1.83
