,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
59,59,A7sQWdFd,2025-01-11,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Ballymena,Glentoran,ROUND 25,4.3,3.75,1.67,1.37,2.85,1.05,10.0,1.35,3.1,2.16,1.66,2.17,1.63
60,60,SrCAv9Y2,2025-01-11,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Dungannon,ROUND 25,2.43,3.75,2.38,1.28,3.3,1.03,13.0,1.23,3.95,1.79,1.98,1.72,2.02
61,61,KjUHxm3F,2025-01-11,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Coleraine,ROUND 25,2.6,3.35,2.4,1.33,3.0,1.04,11.0,1.27,3.55,1.92,1.83,1.76,1.98
62,62,Cl9dV4ek,2025-01-11,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Linfield,Carrick Rangers,ROUND 25,1.28,5.3,7.5,1.27,3.4,1.03,14.0,1.23,4.0,1.79,1.98,2.45,1.5
63,63,8G25TrQ1,2025-01-11,16:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Loughgall,Portadown,ROUND 25,3.6,3.65,1.83,1.3,3.15,1.04,12.0,1.25,3.75,1.86,1.9,1.79,1.95
64,64,bX1txtTG,2025-01-11,16:00,SCOTLAND - PREMIERSHIP,Hibernian,Motherwell,ROUND 23,1.62,4.0,5.25,1.36,3.0,1.04,12.0,1.25,4.0,1.8,2.0,1.8,1.95
65,65,4AO7h1Dc,2025-01-11,16:00,SCOTLAND - PREMIERSHIP,St. Mirren,Dundee Utd,ROUND 23,2.4,3.25,3.0,1.44,2.63,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.91
66,66,AacZL6Wr,2025-01-11,16:00,SCOTLAND - CHAMPIONSHIP,Falkirk,Queen's Park,ROUND 21,1.36,4.33,7.5,1.29,3.5,1.01,15.0,1.17,4.5,1.53,2.38,1.8,1.91
67,67,QNoyfynB,2025-01-11,16:15,SPAIN - LALIGA,Valladolid,Betis,ROUND 19,4.75,3.5,1.8,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,1.95,1.8
68,68,hE31fRKt,2025-01-11,16:15,SPAIN - LALIGA2,Albacete,Racing Santander,ROUND 22,2.25,3.4,3.1,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.73,2.0
